,phrase,label,sentiment,subjectivity,language,count
Spanien,Spanien,LOC,0.074126746506986,0.09555888223552894,de,334
Brandenburg,Brandenburg,LOC,0.015051282051282049,0.031794871794871796,de,325
Los Angeles,Los Angeles,LOC,-0.1830687830687831,0.042328042328042326,de,315
Waldbrand,Waldbrand,LOC,-0.05963455149501661,0.02159468438538206,de,301
Gohrischheide,Gohrischheide,LOC,-0.08763736263736265,0.01098901098901099,de,273
Sachsen,Sachsen,LOC,-0.06264005602240896,0.013655462184873951,de,238
Kalifornien,Kalifornien,LOC,-0.08371385083713852,0.05441400304414003,de,219
Griechenland,Griechenland,LOC,0.01810776942355889,0.15852130325814534,de,133
Thüringen,Thüringen,LOC,-0.012090163934426216,0.07581967213114754,de,122
Deutschland,Deutschland,LOC,-0.013815789473684205,0.070906432748538,de,114
Türkei,Türkei,LOC,0.024181547619047616,0.024553571428571428,de,112
Europa,Europa,LOC,-0.04326923076923076,0.14423076923076922,de,104
Saalfelder Höhe,Saalfelder Höhe,LOC,-0.001941747572815524,0.024271844660194174,de,103
Portugal,Portugal,LOC,0.119047619047619,0.02040816326530612,de,98
Frankreich,Frankreich,LOC,0.017696629213483146,0.12640449438202248,de,89
Südkorea,Südkorea,LOC,-0.09961240310077521,0.07751937984496124,de,86
Kanada,Kanada,LOC,0.038755020080321285,0.10843373493975904,de,83
Südfrankreich,Südfrankreich,LOC,0.1054878048780488,0.04878048780487805,de,82
Berlin,Berlin,LOC,-0.022666666666666665,0.0,de,75
Spaniens,Spaniens,LOC,0.0330952380952381,0.11428571428571428,de,70
Brandenburgs,Brandenburgs,LOC,-0.019491525423728815,0.00847457627118644,de,59
Marseille,Marseille,LOC,0.12105263157894737,0.05263157894736842,de,57
Athen,Athen,LOC,0.074031007751938,0.06976744186046512,de,43
Madrid,Madrid,LOC,0.041269841269841276,0.0,de,42
Truppenübungsplatz,Truppenübungsplatz,LOC,-0.08690476190476192,0.0,de,42
Europas,Europas,LOC,0.0532520325203252,0.08130081300813008,de,41
Bayern,Bayern,LOC,0.04247967479674796,0.07520325203252033,de,41
Erlangen,Erlangen,LOC,-0.12375,0.0,de,40
Harz,Harz,LOC,-0.11499999999999999,0.01125,de,40
Frankreichs,Frankreichs,LOC,0.3102564102564102,0.0641025641025641,de,39
Waldbränden,Waldbränden,LOC,0.0829059829059829,0.034188034188034185,de,39
Kreta,Kreta,LOC,0.08728070175438596,0.02631578947368421,de,38
Landes,Landes,LOC,-0.0030303030303030264,0.030303030303030304,de,33
Waldbrände,Waldbrände,LOC,0.007812500000000003,0.125,de,32
Zypern,Zypern,LOC,0.02135416666666666,0.03125,de,32
USA,USA,LOC,-0.28281249999999997,0.0625,de,32
Hessen,Hessen,LOC,0.04055555555555556,0.0611111111111111,de,30
Deutschlands,Deutschlands,LOC,-0.12388888888888887,0.027777777777777776,de,30
Pazifikküste,Pazifikküste,LOC,-0.37962962962962965,0.0,de,27
Landkreisen,Landkreisen,LOC,-0.21296296296296297,0.0,de,27
Italien,Italien,LOC,0.009259259259259259,0.09876543209876544,de,27
Japan,Japan,LOC,0.02851851851851852,0.31234567901234567,de,27
Jerusalem,Jerusalem,LOC,0.036000000000000004,0.1,de,25
Saalfelder,Saalfelder,LOC,0.0,0.0,de,24
NRW,NRW,LOC,0.13478260869565215,0.08695652173913043,de,23
Zeithain,Zeithain,LOC,0.03478260869565217,0.010869565217391304,de,23
Saalfeld,Saalfeld,LOC,-0.23522727272727273,0.011363636363636364,de,22
Sachsens,Sachsens,LOC,-0.1333333333333333,0.09523809523809523,de,21
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.11071428571428572,0.18253968253968253,de,21
Goslar,Goslar,LOC,-0.08499999999999999,0.0,de,20
Kopiere,Kopiere,LOC,-0.45999999999999996,0.041666666666666664,de,20
Grand Canyon,Grand Canyon,LOC,-0.1625,0.0,de,20
New Jersey,New Jersey,LOC,0.0975,0.016666666666666666,de,20
Lüneburger Heide,Lüneburger Heide,LOC,-0.1575,0.1,de,20
Heidehäuser,Heidehäuser,LOC,-0.06999999999999999,0.0,de,20
Österreich,Österreich,LOC,-0.065,0.05,de,20
Mittelmeerraum,Mittelmeerraum,LOC,-0.185,0.1,de,20
Brand,Brand,LOC,0.2947368421052632,0.0,de,19
Waldbrandes,Waldbrandes,LOC,-0.2526315789473685,0.0,de,19
Pacific Palisades,Pacific Palisades,LOC,-0.3666666666666667,0.07017543859649122,de,19
Bernau,Bernau,LOC,-0.4277777777777778,0.0,de,18
Brandenburger,Brandenburger,LOC,0.07777777777777778,0.05555555555555555,de,18
Aude,Aude,LOC,-0.20277777777777775,0.08333333333333333,de,18
Großraum Los Angeles,Großraum Los Angeles,LOC,-0.20925925925925926,0.2222222222222222,de,18
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.049999999999999996,0.05555555555555555,de,18
bb,bb,LOC,-0.04117647058823529,0.0,de,17
Malibu,Malibu,LOC,-0.34411764705882353,0.11764705882352941,de,17
Kanadas,Kanadas,LOC,0.14705882352941177,0.23529411764705882,de,17
Niedersachsen,Niedersachsen,LOC,0.3392156862745098,0.0196078431372549,de,17
Narbonne,Narbonne,LOC,-0.041176470588235294,0.11764705882352941,de,17
Südtirol,Südtirol,LOC,0.16176470588235292,0.08823529411764706,de,17
Südkalifornien,Südkalifornien,LOC,0.28750000000000003,0.0,de,16
